_id,song,orig,cover,in_album
5f12ecf70bad3a78ca43c2c1,If You Could Read My Mind,Gordon Lightfoot,Barbra Streisand,Stoney End
5f12ecf70bad3a78ca43c2c2,If You Could Read My Mind,Gordon Lightfoot,Cilla Black,Beginnings (Greatest Hits and New Songs)
5f12ecf70bad3a78ca43c2c3,If You Could Read My Mind,Gordon Lightfoot,Johnny Cash,American V: A Hundred Highways
5f12ecf70bad3a78ca43c2c4,If You Could Read My Mind,Gordon Lightfoot,Michael Ball,First Love
5f12ecf70bad3a78ca43c2c5,If You Could Read My Mind,Gordon Lightfoot,Olivia Newton-John,If Not for You
5f12ecf70bad3a78ca43c2c6,If You Could Read My Mind,Gordon Lightfoot,Poco,Cowboys & Englishmen
5f12ecf70bad3a78ca43c2c7,If You Could Read My Mind,Gordon Lightfoot,Scala & Kolacny Brothers,One-Winged Angel
5f12ecf70bad3a78ca43c2c8,If you could read my mind,Gordon Lightfoot,Viola Wills,Dance Classics Gold (disc 2)
5f12ecf70bad3a78ca43c2c9,"If You Don't Know Me by Now",Harold Melvin & The Blue Notes,Martina McBride,Everlasting
5f12ecf70bad3a78ca43c2ca,"If You Don't Know Me by Now",Harold Melvin & The Blue Notes,Patti LaBelle,Patti
5f12ecf70bad3a78ca43c2cb,"If You Don't Know Me by Now",Harold Melvin & The Blue Notes,Simply Red,"Now That's What I Call Music! 1989 (disc 1)"
5f12ecf70bad3a78ca43c2cc,"If You Don't Like Hank Williams",Kris Kristofferson,"Hank Williams, Jr.",Bocephus Box (disc 1)
5f12ecf70bad3a78ca43c2cd,"If You Don't Love Me",Prefab Sprout,Kylie Minogue,Hits Plus
5f12ecf70bad3a78ca43c2ce,"If You Don't Want My Love",John Prine,Elaine Paige,A Collection
5f12ecf70bad3a78ca43c2cf,"If You Don't Want My Love",John Prine,Kim Carnes,View from the House
5f12ecf70bad3a78ca43c2d0,If You Go Away,Rod McKuen,Dusty Springfield,The Look of Love (disc 1)
5f12ecf70bad3a78ca43c2d1,If You Go Away,Rod McKuen,Emiliana Torrini,Rarities
5f12ecf70bad3a78ca43c2d2,If You Go Away,Rod McKuen,Frank Sinatra,The Complete Reprise Studio Recordings (disc 14)
5f12ecf70bad3a78ca43c2d3,If You Go Away,Rod McKuen,Freda Payne,Unhooked Generation (disc 2)
5f12ecf70bad3a78ca43c2d4,If You Go Away,Rod McKuen,Marc Almond,Live in Concert
5f12ecf70bad3a78ca43c2d5,If You Go Away,Rod McKuen,Neil Diamond,Rainbow
5f12ecf70bad3a78ca43c2d6,If You Go Away,Rod McKuen,Shirley Bassey,Big Spender
